bno_deep_sleep,bno_light_sleep,feather_deep_sleep,feather_light_sleep
3.517624,3.517496,3.514911,3.672656
3.518588,3.517238,3.515621,3.671814
3.518717,3.517366,3.514718,3.672714
3.519359,3.517753,3.514524,3.667304
3.519232,3.517881,3.513878,3.670587
3.518202,3.517174,3.513813,3.670271
3.518909,3.517754,3.514653,3.671881
3.518137,3.517366,3.514136,3.672136
3.518651,3.517559,3.513297,3.672270
3.517492,3.517302,3.514396,3.668525
3.517617,3.516916,3.513231,3.672647
3.518134,3.517174,3.513555,3.668210
3.516847,3.517239,3.512136,3.670721
3.517815,3.517044,3.513103,3.670206
3.516654,3.517174,3.513619,3.669111
3.517103,3.517366,3.513168,3.670271
3.516590,3.516659,3.511877,3.671165
3.517489,3.518268,3.510454,3.668790
3.516977,3.518268,3.513490,3.669240
3.516589,3.518395,3.513490,3.668463
3.516009,3.517366,3.510518,3.670656
3.515106,3.517817,3.513619,3.669620
3.516333,3.516656,3.513619,3.670657
3.514977,3.517495,3.513619,3.670077
3.514331,3.517817,3.513619,3.668531
3.514526,3.518397,3.510518,3.670909
3.514008,3.517753,3.510454,3.668464
3.513878,3.518460,3.510454,3.668982
3.513425,3.517881,3.510454,3.670593
3.514266,3.518204,3.513490,3.669305
3.513231,3.518202,3.513619,3.668143
3.513878,3.517754,3.513619,3.670201
3.514331,3.518203,3.513619,3.662920
3.513103,3.518073,3.510454,3.667172
3.513619,3.517880,3.513490,3.664723
3.513750,3.518138,3.513490,3.666141
3.513490,3.517171,3.510454,3.668143
3.513555,3.517815,3.513619,3.666850
3.513297,3.517427,3.512133,3.664273
3.513490,3.517365,3.513490,3.656220
3.513490,3.517493,3.512391,3.665754
3.512713,3.517235,3.513425,3.662791
3.513490,3.517557,3.512068,3.660728
3.513490,3.516589,3.510905,3.653515
3.513490,3.516136,3.511485,3.662662
3.512975,3.516397,3.511035,3.653709
3.512133,3.516008,3.511873,3.665239
3.513426,3.516846,3.510778,3.654996
3.513490,3.517040,3.510198,3.666269
3.513490,3.516332,3.510326,3.653774
3.513297,3.516332,3.510328,3.662276
3.513490,3.514847,3.509811,3.665303
3.513297,3.515169,3.510713,3.653579
3.512458,3.515879,3.509553,3.661566
3.513490,3.515557,3.509683,3.656865
3.513490,3.515944,3.509618,3.653321
3.513426,3.514716,3.509232,3.652934
3.513426,3.514846,3.509748,3.652420
3.513426,3.515362,3.508843,3.651643
3.513426,3.513878,3.508973,3.651838
3.513426,3.513942,3.508586,3.651903
3.513297,3.514200,3.508780,3.652034
3.513426,3.514006,3.508973,3.652481
3.513297,3.514200,3.508716,3.651128
3.513297,3.512973,3.508845,3.651967
3.513426,3.513748,3.508393,3.651581
3.512650,3.514458,3.508780,3.650871
3.513297,3.514006,3.508523,3.652224
3.513426,3.513813,3.508908,3.651065
3.513167,3.514071,3.508651,3.649581
3.512004,3.514263,3.508264,3.649969
3.512069,3.513813,3.508908,3.650292
3.512524,3.513942,3.508586,3.649190
3.511292,3.513942,3.508586,3.649902
3.512004,3.512329,3.508586,3.650679
3.511358,3.510454,3.508586,3.650742
3.510906,3.513555,3.508586,3.650483
3.511101,3.512975,3.508908,3.649773
3.511424,3.513425,3.508716,3.650162
3.511488,3.513425,3.509231,3.651581
3.510973,3.510454,3.508908,3.651452
3.510908,3.513555,3.508458,3.651582
3.511358,3.513877,3.510325,3.649902
3.509940,3.513555,3.508651,3.649516
3.509747,3.513877,3.510391,3.649578
3.509747,3.513555,3.510391,3.648870
3.509875,3.513167,3.508523,3.649321
