timestamp,acc_magnitude,tilt_x,tilt_y,acc_x,acc_y,acc_z,activity,stability
2024-11-06 11:03:30,11.468662360659154,False,True,-8.80078,1.625,7.17188,Unknown,In motion
2024-11-06 11:03:30,10.754614715130431,False,False,-8.30078,-1.09375,6.75,Unknown,In motion
2024-11-06 11:03:31,9.288526027142304,True,True,-3.35938,-3.27734,8.01563,Unknown,In motion
2024-11-06 11:03:32,6.778104682070055,False,False,-4.20313,-4.69531,2.49609,Unknown,In motion
2024-11-06 11:03:33,10.24419110813538,False,False,-7.0,-2.35938,7.09766,Unknown,In motion
2024-11-06 11:03:33,9.596800030744625,False,False,-7.07422,-2.58984,5.94531,Unknown,In motion
2024-11-06 11:03:34,9.316897000702541,False,True,-7.34375,-1.89844,5.41016,Unknown,In motion
2024-11-06 11:03:35,9.881584429133822,False,True,-8.07422,-1.89844,5.37109,Unknown,In motion
2024-11-06 11:03:36,9.911878667820748,False,True,-8.91406,-0.78906,4.26172,Unknown,In motion
2024-11-06 11:03:37,9.616329348899194,False,True,-4.625,-2.08984,8.16797,Unknown,In motion
2024-11-06 11:03:37,10.989003344566786,True,True,-1.09766,0.51563,10.92188,Unknown,In motion
2024-11-06 11:03:38,9.790678764217525,True,True,1.00781,-0.28906,9.73438,In-Vehicle,In motion
2024-11-06 11:03:39,9.837473806501341,True,True,1.04688,-0.28906,9.77734,In-Vehicle,In motion
2024-11-06 11:03:40,9.757185200015423,True,True,1.04688,-0.32813,9.69531,In-Vehicle,In motion
2024-11-06 11:03:40,9.839058106043485,True,True,1.08594,-0.32813,9.77344,In-Vehicle,On Table
2024-11-06 11:03:41,9.79988389674592,True,True,1.04688,-0.32813,9.73828,Still,On Table
2024-11-06 11:03:42,9.839058106043485,True,True,1.08594,-0.32813,9.77344,Still,On Table
2024-11-06 11:03:43,9.801269488637683,True,True,1.04688,-0.36719,9.73828,Still,On Table
2024-11-06 11:03:43,9.837832627199958,True,True,1.08594,-0.28906,9.77344,Still,On Table
2024-11-06 11:03:44,9.839058106043485,True,True,1.08594,-0.32813,9.77344,Still,On Table
2024-11-06 11:03:45,9.8386993300385,True,True,1.04688,-0.32813,9.77734,Still,On Table
2024-11-06 11:03:46,9.801645176402785,True,True,1.08594,-0.36719,9.73438,Still,On Table
2024-11-06 11:03:47,9.801645176402785,True,True,1.08594,-0.36719,9.73438,Still,On Table
2024-11-06 11:03:47,9.801645176402785,True,True,1.08594,-0.36719,9.73438,Still,On Table
2024-11-06 11:03:48,9.79988389674592,True,True,1.04688,-0.32813,9.73828,Still,On Table
2024-11-06 11:03:49,9.837832627199958,True,True,1.08594,-0.28906,9.77344,Still,On Table
2024-11-06 11:03:50,9.798653518540187,True,True,1.04688,-0.28906,9.73828,Still,On Table
2024-11-06 11:03:50,9.839058106043485,True,True,1.08594,-0.32813,9.77344,Still,On Table
2024-11-06 11:03:51,9.801645176402785,True,True,1.08594,-0.36719,9.73438,Still,On Table
2024-11-06 11:03:52,9.840079456289976,True,True,1.04688,-0.36719,9.77734,Still,On Table
2024-11-06 11:03:53,9.839058106043485,True,True,1.08594,-0.32813,9.77344,Still,On Table
2024-11-06 11:03:54,9.801269488637683,True,True,1.04688,-0.36719,9.73828,Still,On Table
2024-11-06 11:03:54,9.8386993300385,True,True,1.04688,-0.32813,9.77734,Still,On Table
2024-11-06 11:03:55,9.801645176402785,True,True,1.08594,-0.36719,9.73438,Still,On Table
2024-11-06 11:03:56,9.839058106043485,True,True,1.08594,-0.32813,9.77344,Still,On Table
2024-11-06 11:03:57,9.839058106043485,True,True,1.08594,-0.32813,9.77344,Still,On Table
2024-11-06 11:03:57,9.801269488637683,True,True,1.04688,-0.36719,9.73828,Still,On Table
2024-11-06 11:03:58,9.798653518540187,True,True,1.04688,-0.28906,9.73828,Still,On Table
2024-11-06 11:03:59,9.884447569783553,True,True,1.12109,-0.28906,9.81641,Still,On Table
2024-11-06 11:04:00,9.801269488637683,True,True,1.04688,-0.36719,9.73828,Still,On Table
2024-11-06 11:04:01,9.801645176402785,True,True,1.08594,-0.36719,9.73438,Still,On Table
2024-11-06 11:04:02,9.79988389674592,True,True,1.04688,-0.32813,9.73828,Still,On Table
2024-11-06 11:04:02,9.800259637626954,True,True,1.08594,-0.32813,9.73438,Still,On Table
2024-11-06 11:04:03,9.839058106043485,True,True,1.08594,-0.32813,9.77344,Still,On Table
2024-11-06 11:04:04,9.798653518540187,True,True,1.04688,-0.28906,9.73828,Still,On Table
2024-11-06 11:04:05,9.8386993300385,True,True,1.04688,-0.32813,9.77734,Still,On Table
2024-11-06 11:04:05,9.80421674940941,True,True,1.12109,-0.32813,9.73438,Still,On Table
2024-11-06 11:04:06,9.840079456289976,True,True,1.04688,-0.36719,9.77734,Still,On Table
2024-11-06 11:04:07,9.79902930659971,True,True,1.08594,-0.28906,9.73438,Still,On Table
2024-11-06 11:04:08,9.837473806501341,True,True,1.04688,-0.28906,9.77734,Still,On Table
2024-11-06 11:04:08,9.800259637626954,True,True,1.08594,-0.32813,9.73438,Still,On Table
2024-11-06 11:04:09,9.800259637626954,True,True,1.08594,-0.32813,9.73438,Still,On Table
2024-11-06 11:04:10,9.839058106043485,True,True,1.08594,-0.32813,9.77344,Still,On Table
2024-11-06 11:04:11,9.800259637626954,True,True,1.08594,-0.32813,9.73438,Still,On Table
2024-11-06 11:04:11,9.801269488637683,True,True,1.04688,-0.36719,9.73828,Still,On Table
2024-11-06 11:04:12,9.766727332535705,True,True,1.08594,-0.36719,9.69922,Still,On Table
2024-11-06 11:04:13,9.836762430657762,True,True,1.08594,-0.25,9.77344,Still,On Table
2024-11-06 11:04:14,9.841774631909635,True,True,1.12109,-0.28906,9.77344,Still,On Table
2024-11-06 11:04:14,9.800259637626954,True,True,1.08594,-0.32813,9.73438,Still,On Table
2024-11-06 11:04:15,9.837832627199958,True,True,1.08594,-0.28906,9.77344,Still,On Table
2024-11-06 11:04:16,9.805601729042435,True,True,1.12109,-0.36719,9.73438,Still,On Table
2024-11-06 11:04:17,9.79902930659971,True,True,1.08594,-0.28906,9.73438,Still,On Table
2024-11-06 11:04:17,9.79988389674592,True,True,1.04688,-0.32813,9.73828,Still,On Table
2024-11-06 11:04:18,9.79988389674592,True,True,1.04688,-0.32813,9.73828,Still,On Table
2024-11-06 11:04:19,9.800259637626954,True,True,1.08594,-0.32813,9.73438,Still,On Table
2024-11-06 11:04:20,9.800259637626954,True,True,1.08594,-0.32813,9.73438,Still,On Table
2024-11-06 11:04:21,9.8386993300385,True,True,1.04688,-0.32813,9.77734,Still,On Table
2024-11-06 11:04:21,9.837832627199958,True,True,1.08594,-0.28906,9.77344,Still,On Table
2024-11-06 11:04:22,9.798653518540187,True,True,1.04688,-0.28906,9.73828,Still,On Table
2024-11-06 11:04:23,9.839058106043485,True,True,1.08594,-0.32813,9.77344,Still,On Table
2024-11-06 11:04:24,9.800259637626954,True,True,1.08594,-0.32813,9.73438,Still,On Table
2024-11-06 11:04:24,9.839058106043485,True,True,1.08594,-0.32813,9.77344,Still,On Table
2024-11-06 11:04:25,9.79988389674592,True,True,1.04688,-0.32813,9.73828,Still,On Table
2024-11-06 11:04:26,9.800259637626954,True,True,1.08594,-0.32813,9.73438,Still,On Table
2024-11-06 11:04:27,9.800259637626954,True,True,1.08594,-0.32813,9.73438,Still,On Table
2024-11-06 11:04:27,9.839058106043485,True,True,1.08594,-0.32813,9.77344,Still,On Table
2024-11-06 11:04:28,9.757185200015423,True,True,1.04688,-0.32813,9.69531,Still,On Table
2024-11-06 11:04:29,9.800259637626954,True,True,1.08594,-0.32813,9.73438,Still,On Table
2024-11-06 11:04:30,9.837832627199958,True,True,1.08594,-0.28906,9.77344,Still,On Table
2024-11-06 11:04:30,9.8386993300385,True,True,1.04688,-0.32813,9.77734,Still,On Table
2024-11-06 11:04:31,9.76410210800768,True,True,1.08594,-0.28906,9.69922,Still,On Table
2024-11-06 11:04:32,9.839058106043485,True,True,1.08594,-0.32813,9.77344,Still,On Table
2024-11-06 11:04:33,9.839058106043485,True,True,1.08594,-0.32813,9.77344,Still,On Table
2024-11-06 11:04:34,9.839058106043485,True,True,1.08594,-0.32813,9.77344,Still,On Table
2024-11-06 11:04:34,9.800259637626954,True,True,1.08594,-0.32813,9.73438,Still,On Table
2024-11-06 11:04:35,9.800259637626954,True,True,1.08594,-0.32813,9.73438,Still,On Table
2024-11-06 11:04:36,9.839058106043485,True,True,1.08594,-0.32813,9.77344,Still,On Table
2024-11-06 11:04:37,9.839058106043485,True,True,1.08594,-0.32813,9.77344,Still,On Table
2024-11-06 11:04:37,9.837832627199958,True,True,1.08594,-0.28906,9.77344,Still,On Table
2024-11-06 11:04:38,9.800259637626954,True,True,1.08594,-0.32813,9.73438,Still,On Table
2024-11-06 11:04:39,9.8386993300385,True,True,1.04688,-0.32813,9.77734,Still,On Table
2024-11-06 11:04:40,9.837832627199958,True,True,1.08594,-0.28906,9.77344,Still,On Table
2024-11-06 11:04:40,9.800259637626954,True,True,1.08594,-0.32813,9.73438,Still,On Table
2024-11-06 11:04:41,9.80191291394185,True,True,1.12109,-0.25,9.73438,Still,On Table
2024-11-06 11:04:42,9.837832627199958,True,True,1.08594,-0.28906,9.77344,Still,On Table
2024-11-06 11:04:43,9.839058106043485,True,True,1.08594,-0.32813,9.77344,Still,On Table
2024-11-06 11:04:43,9.84299961996342,True,True,1.12109,-0.32813,9.77344,Still,On Table
2024-11-06 11:04:44,9.8386993300385,True,True,1.04688,-0.32813,9.77734,Still,On Table
2024-11-06 11:04:45,9.801269488637683,True,True,1.04688,-0.36719,9.73828,Still,On Table
2024-11-06 11:04:46,9.79988389674592,True,True,1.04688,-0.32813,9.73828,Still,On Table
2024-11-06 11:04:46,9.798653518540187,True,True,1.04688,-0.28906,9.73828,Still,On Table
2024-11-06 11:04:47,9.839058106043485,True,True,1.08594,-0.32813,9.77344,Still,On Table
2024-11-06 11:04:48,9.801269488637683,True,True,1.04688,-0.36719,9.73828,Still,On Table
2024-11-06 11:04:49,9.790678764217525,True,True,1.00781,-0.28906,9.73438,Still,On Table
2024-11-06 11:04:50,9.848904972396678,True,True,1.16016,-0.36719,9.77344,Still,On Table
2024-11-06 11:04:50,9.801645176402785,True,True,1.08594,-0.36719,9.73438,Still,On Table
