timestamp,acc_magnitude,tilt_x,tilt_y,stability
2025-01-11 20:49:24,9.417,1,0,In motion
2025-01-11 20:50:27,9.815,1,0,Unknown
2025-01-11 20:50:35,9.821,1,0,Unknown
2025-01-11 20:50:40,9.778,1,0,Unknown
2025-01-11 20:50:48,9.827,0,0,Unknown
2025-01-11 20:50:58,8.513,0,1,In motion
2025-01-11 20:51:07,9.793,1,0,Unknown
2025-01-11 20:51:16,9.798,1,0,Unknown
2025-01-11 20:51:24,9.763,1,0,Unknown
2025-01-11 20:52:00,11.106,0,0,In motion
2025-01-11 20:52:09,10.079,0,1,Unknown
2025-01-11 20:52:14,9.441,0,1,In motion
2025-01-11 20:52:23,9.741,0,0,Unknown
2025-01-11 20:52:28,9.238,0,0,Unknown
2025-01-11 20:52:36,10.571,0,1,Unknown
2025-01-11 20:52:42,9.799,0,0,Unknown
2025-01-11 20:52:50,9.802,0,0,In motion
2025-01-11 20:52:55,21.19,0,0,In motion
2025-01-11 20:53:03,9.663,0,0,Unknown
2025-01-11 20:53:08,6.135,0,0,Unknown
2025-01-11 20:53:17,10.872,0,0,In motion
2025-01-11 20:53:22,9.95,0,0,In motion
2025-01-11 20:53:30,10.931,1,1,In motion
2025-01-11 20:53:35,12.934,0,0,In motion
2025-01-11 20:53:44,2.47,1,1,In motion
2025-01-11 20:53:49,8.063,0,0,Unknown
2025-01-11 20:53:55,7.223,1,0,Unknown
2025-01-11 20:54:01,14.988,0,0,In motion
2025-01-11 20:54:10,4.217,1,1,Unknown
2025-01-11 20:54:15,15.605,1,1,In motion
2025-01-11 20:54:24,12.795,1,1,In motion
2025-01-11 20:54:29,9.729,0,1,Unknown
2025-01-11 20:54:38,8.344,1,1,Unknown
2025-01-11 20:54:43,11.038,1,1,Unknown
2025-01-11 20:54:51,15.032,0,1,In motion
2025-01-11 20:54:56,9.624,0,1,In motion
2025-01-11 20:55:04,10.996,0,1,Unknown
2025-01-11 20:55:10,3.8,1,1,In motion
2025-01-11 20:55:18,9.784,0,1,Unknown
2025-01-11 20:55:29,2.154,0,0,In motion
2025-01-11 20:55:37,7.188,1,1,In motion
2025-01-11 20:55:42,1.829,0,1,In motion
2025-01-11 20:55:51,14.378,0,1,In motion
2025-01-11 20:55:56,18.596,0,1,Unknown
2025-01-11 20:56:04,14.484,0,1,Unknown
2025-01-11 20:56:09,16.505,1,1,In motion
2025-01-11 20:56:18,8.767,0,1,In motion
2025-01-11 20:56:23,7.083,0,1,In motion
2025-01-11 20:56:31,15.14,1,1,In motion
2025-01-11 20:56:36,7.492,0,1,Unknown
2025-01-11 20:56:44,25.806,0,0,Unknown
2025-01-11 20:56:50,2.098,1,1,In motion
2025-01-11 20:56:58,17.931,1,1,Unknown
2025-01-11 20:57:03,16.223,1,1,In motion
2025-01-11 20:57:11,9.736,0,1,In motion
2025-01-11 20:57:16,11.815,0,1,In motion
2025-01-11 20:57:25,7.836,0,1,In motion
2025-01-11 20:57:30,18.022,0,1,Unknown
2025-01-11 20:57:38,8.853,0,1,In motion
2025-01-11 20:57:43,14.275,0,1,Unknown
2025-01-11 20:57:52,12.517,0,1,Unknown
2025-01-11 20:57:57,10.536,1,1,Unknown
2025-01-11 20:58:05,14.396,0,1,Unknown
2025-01-11 20:58:10,20.268,0,1,Unknown
2025-01-11 20:58:18,2.12,0,0,In motion
2025-01-11 20:58:24,3.718,1,1,In motion
2025-01-11 20:58:32,8.043,1,1,Unknown
2025-01-11 20:58:37,16.526,0,1,Unknown
2025-01-11 20:58:45,13.895,0,1,In motion
2025-01-11 20:58:50,6.018,1,1,Unknown
2025-01-11 20:58:59,8.877,1,1,In motion
2025-01-11 20:59:04,17.616,1,1,Unknown
2025-01-11 20:59:12,9.465,0,0,In motion
2025-01-11 20:59:17,9.671,1,0,Unknown
2025-01-11 20:59:26,9.744,1,0,Unknown
2025-01-11 20:59:44,9.763,1,0,Unknown
2025-01-11 20:59:53,9.309,1,0,Unknown
2025-01-11 20:59:58,10.239,1,0,Unknown
2025-01-11 21:00:06,9.522,1,0,Unknown
2025-01-11 21:00:14,10.247,1,0,Unknown
2025-01-11 21:00:24,10.158,1,0,Unknown
2025-01-11 21:00:29,9.866,1,0,Unknown
2025-01-11 21:00:37,10.557,0,0,Unknown
2025-01-11 21:00:42,9.621,1,0,Unknown
2025-01-11 21:00:51,10.388,1,0,In motion
2025-01-11 21:00:56,9.61,1,0,Unknown
2025-01-11 21:01:04,9.407,1,0,In motion
2025-01-11 21:01:10,9.716,1,0,Unknown
2025-01-11 21:01:18,9.907,1,0,Unknown
2025-01-11 21:01:23,9.126,1,0,In motion
2025-01-11 21:01:31,9.428,1,0,Unknown
2025-01-11 21:01:37,10.128,1,0,In motion
2025-01-11 21:01:45,10.029,1,0,Unknown
2025-01-11 21:01:51,9.521,1,0,Unknown
2025-01-11 21:01:59,9.924,1,0,Unknown
2025-01-11 21:02:04,10.354,1,0,In motion
2025-01-11 21:02:12,9.888,1,0,Unknown
2025-01-11 21:02:17,10.167,1,0,Unknown
2025-01-11 21:02:26,9.673,1,0,Unknown
2025-01-11 21:02:31,10.023,1,0,Unknown
2025-01-11 21:02:39,9.825,1,0,Unknown
2025-01-11 21:02:44,9.843,1,0,Unknown
2025-01-11 21:02:53,9.865,1,0,Unknown
2025-01-11 21:02:58,9.136,1,0,Unknown
2025-01-11 21:03:06,9.533,1,0,In motion
2025-01-11 21:03:11,9.838,1,0,Unknown
2025-01-11 21:03:20,10.075,1,0,Unknown
2025-01-11 21:03:25,9.634,1,0,Unknown
2025-01-11 21:03:33,9.793,1,0,Unknown
2025-01-11 21:03:38,9.912,1,0,Unknown
2025-01-11 21:03:47,9.665,1,0,Unknown
2025-01-11 21:03:53,9.414,1,0,Unknown
2025-01-11 21:04:02,9.813,1,0,In motion
2025-01-11 21:04:07,9.821,1,0,Unknown
2025-01-11 21:04:15,9.728,1,0,Unknown
2025-01-11 21:04:20,9.743,1,0,Unknown
2025-01-11 21:04:29,10.544,0,1,In motion
2025-01-11 21:04:34,10.228,0,1,In motion
2025-01-11 21:04:42,14.112,0,1,In motion
2025-01-11 21:04:47,7.548,0,1,Unknown
2025-01-11 21:04:55,9.94,0,1,Unknown
2025-01-11 21:05:01,16.599,1,1,Unknown
2025-01-11 21:05:09,9.074,1,1,In motion
2025-01-11 21:05:14,10.358,1,1,In motion
2025-01-11 21:05:22,23.779,1,0,Unknown
2025-01-11 21:05:27,10.054,0,1,Unknown
2025-01-11 21:05:36,11.08,0,1,Unknown
