timestamp,acc_magnitude,tilt_x,tilt_y,acc_x,acc_y,acc_z,activity,stability
2024-10-08 09:37:29,9.807233517292223,True,False,1.20703,-0.20703,9.73047,Unknown,On Table
2024-10-08 09:37:31,9.842119291021625,True,False,1.20703,-0.20703,9.76563,Unknown,On Table
2024-10-08 09:37:32,9.799991451838109,True,False,1.17188,-0.24609,9.72656,Unknown,On Table
2024-10-08 09:37:33,9.842119291021625,True,False,1.20703,-0.20703,9.76563,Still,On Table
2024-10-08 09:37:35,9.845312619526105,True,False,1.20703,-0.17188,9.76953,Still,On Table
2024-10-08 09:37:36,9.842119291021625,True,False,1.20703,-0.20703,9.76563,Still,On Table
2024-10-08 09:37:37,9.84174174504696,True,False,1.17188,-0.20703,9.76953,Still,On Table
2024-10-08 09:37:39,9.842119291021625,True,False,1.20703,-0.20703,9.76563,Still,On Table
2024-10-08 09:37:40,9.842119291021625,True,False,1.20703,-0.20703,9.76563,Still,On Table
2024-10-08 09:37:42,9.84301838898516,True,False,1.20703,-0.24609,9.76563,Still,On Table
2024-10-08 09:37:43,9.84301838898516,True,False,1.20703,-0.24609,9.76563,Still,On Table
2024-10-08 09:37:44,9.842119291021625,True,False,1.20703,-0.20703,9.76563,Still,On Table
2024-10-08 09:37:46,9.842119291021625,True,False,1.20703,-0.20703,9.76563,Still,On Table
2024-10-08 09:37:47,9.842119291021625,True,False,1.20703,-0.20703,9.76563,Still,On Table
2024-10-08 09:37:49,9.846985884315057,True,False,1.24609,-0.20703,9.76563,Still,On Table
2024-10-08 09:37:50,9.880876926563756,True,False,1.20703,-0.20703,9.80469,Still,On Table
2024-10-08 09:37:51,9.842119291021625,True,False,1.20703,-0.20703,9.76563,Still,On Table
2024-10-08 09:37:52,9.807233517292223,True,False,1.20703,-0.20703,9.73047,Still,On Table
2024-10-08 09:37:54,9.842119291021625,True,False,1.20703,-0.20703,9.76563,Still,On Table
2024-10-08 09:37:55,9.84301838898516,True,True,1.20703,-0.24609,9.76563,Still,In motion
2024-10-08 09:37:57,10.764882183191789,True,True,5.0,1.17188,9.46094,Still,In motion
2024-10-08 09:37:58,13.9286565956879,True,False,4.80859,4.34766,12.32813,Still,In motion
2024-10-08 09:38:00,9.511523867872066,True,True,1.51563,0.36719,9.38281,Still,In motion
2024-10-08 09:38:01,9.43461838327868,True,True,1.05469,2.05078,9.14844,Still,In motion
2024-10-08 09:38:02,10.61230895574097,True,True,0.86328,0.94141,10.53516,In-Vehicle,In motion
2024-10-08 09:38:04,9.404230885867275,False,False,-3.19531,-0.13281,8.84375,In-Vehicle,In motion
2024-10-08 09:38:05,9.42984648012363,False,True,-2.35547,0.98047,9.07813,In-Vehicle,In motion
2024-10-08 09:38:07,9.981074495073162,True,False,0.44141,-1.58984,9.84375,In-Vehicle,In motion
2024-10-08 09:38:08,12.842573445579355,True,True,2.39453,1.13281,12.56641,In-Vehicle,In motion
2024-10-08 09:38:10,9.32191331469565,True,True,0.55859,-0.09375,9.30469,In-Vehicle,In motion
2024-10-08 09:38:11,10.556415648448104,True,False,3.54688,-2.23828,9.6875,In-Vehicle,In motion
2024-10-08 09:38:12,8.277834735321791,True,False,2.66406,-3.27344,7.12109,In-Vehicle,In motion
2024-10-08 09:38:14,9.517001609682536,True,False,1.74609,-4.84375,8.00391,In-Vehicle,In motion
2024-10-08 09:38:15,9.627548618033565,False,False,0.01953,-6.07031,7.47266,In-Vehicle,In motion
2024-10-08 09:38:17,11.415747713334419,False,False,-2.08594,-1.89453,11.0625,Unknown,In motion
2024-10-08 09:38:18,9.66613461743628,True,False,5.57422,-0.40234,7.88672,Unknown,In motion
2024-10-08 09:38:19,9.566427319292194,True,False,-1.08984,-0.47656,9.49219,Unknown,In motion
2024-10-08 09:38:21,8.592897169616311,False,True,-8.21094,0.17578,2.52734,Unknown,In motion
2024-10-08 09:38:22,8.60304027610007,False,True,-8.10156,1.09375,2.67969,Unknown,In motion
2024-10-08 09:38:24,9.444976928748952,False,True,-4.65234,8.18359,-0.76953,Walking,In motion
2024-10-08 09:38:25,10.6289254159628,True,False,-6.18359,8.52734,-1.42188,Walking,In motion
2024-10-08 09:38:26,9.874723352534996,False,True,-3.69531,7.45313,5.32031,Unknown,In motion
2024-10-08 09:38:28,14.545030567650933,False,True,-5.26563,5.95703,12.17969,Unknown,In motion
2024-10-08 09:38:29,10.038431548753023,False,True,-4.95703,5.34375,-6.90234,Unknown,In motion
2024-10-08 09:38:31,10.873460490662575,False,True,-9.63672,4.3125,2.60156,Unknown,In motion
2024-10-08 09:38:32,9.140726541637704,False,True,-8.40625,1.74609,3.13672,Unknown,In motion
2024-10-08 09:38:33,8.284214169388669,False,True,-5.45703,2.96875,5.48047,In-Vehicle,In motion
2024-10-08 09:38:35,9.440212796934187,False,True,-9.36328,1.05469,-0.57813,In-Vehicle,In motion
2024-10-08 09:38:36,7.723006997601388,False,True,-6.79688,2.28125,2.87109,In-Vehicle,In motion
2024-10-08 09:38:37,6.356696598894744,False,True,-5.76172,1.32422,2.33594,In-Vehicle,In motion
2024-10-08 09:38:39,7.4412511000906285,False,True,-5.83984,2.39453,3.94141,In-Vehicle,In motion
2024-10-08 09:38:40,7.425775908731693,False,True,-6.75781,2.28125,2.06641,Walking,In motion
2024-10-08 09:38:42,10.00928462045615,False,True,-9.89844,1.13281,-0.96094,Walking,In motion
2024-10-08 09:38:43,9.557682454517934,False,True,-9.28906,2.20313,0.45703,Walking,In motion
2024-10-08 09:38:45,9.444843996858815,False,True,-8.90625,3.125,0.34375,Walking,In motion
2024-10-08 09:38:46,9.758140945984538,False,True,-9.39844,2.625,-0.00391,Walking,In motion
2024-10-08 09:38:47,10.8184454429368,False,True,-10.05859,3.96484,0.37891,Still,In motion
2024-10-08 09:38:49,9.863833551865115,False,True,-9.35938,2.89453,1.14844,Still,In motion
2024-10-08 09:38:50,9.8759943390324,False,True,-9.40234,2.12891,2.14453,Still,Stable
