Timestamp,activity_classification,stability_classification,shake_detection,step_count,acc_x,acc_y,acc_z,tilt_up,tilt_forward,vbat_voltage,usb_voltage
2024-10-29 09:48:53,{'Running': 1; 'Unknown': 3; 'Tilting': 0; 'On-Foot': 2; 'In-Vehicle': 1; 'Still': 94; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},Stable,False,0,-0.06250,-1.10156,9.93359,True,False,3.83264,0.17725
2024-10-29 09:48:53,{'Running': 1; 'Unknown': 3; 'Tilting': 0; 'On-Foot': 2; 'In-Vehicle': 1; 'Still': 94; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},Stable,False,0,-0.10156,-1.14063,9.81641,True,False,3.83264,0.17725
2024-10-29 09:48:53,{'Running': 1; 'Unknown': 3; 'Tilting': 0; 'On-Foot': 2; 'In-Vehicle': 1; 'Still': 94; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},Stable,False,0,-0.10156,-1.21875,9.85156,True,False,3.83264,0.17725
2024-10-29 09:48:54,{'Running': 1; 'Unknown': 3; 'Tilting': 0; 'On-Foot': 2; 'In-Vehicle': 1; 'Still': 94; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},Stable,False,0,0.01563,-1.17969,10.01172,True,False,3.89065,0.17725
2024-10-29 09:48:54,{'Running': 1; 'Unknown': 3; 'Tilting': 0; 'On-Foot': 2; 'In-Vehicle': 1; 'Still': 94; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},Stable,False,0,-0.02344,-0.94922,9.85156,True,False,3.87776,0.17725
2024-10-29 09:48:54,{'Running': 1; 'Unknown': 3; 'Tilting': 0; 'On-Foot': 2; 'In-Vehicle': 1; 'Still': 94; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},Stable,False,0,0.05469,-1.33203,10.12500,True,False,3.88421,0.17725
2024-10-29 09:48:55,{'Running': 0; 'Unknown': 3; 'Tilting': 0; 'On-Foot': 2; 'In-Vehicle': 7; 'Still': 88; 'Walking': 2; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},Stable,False,0,-0.06250,-0.91016,9.81250,True,False,3.83264,0.17725
2024-10-29 09:48:55,{'Running': 0; 'Unknown': 3; 'Tilting': 0; 'On-Foot': 2; 'In-Vehicle': 7; 'Still': 88; 'Walking': 2; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},Stable,False,0,-0.06250,-1.02734,9.81250,True,False,3.89710,0.17402
2024-10-29 09:48:55,{'Running': 0; 'Unknown': 3; 'Tilting': 0; 'On-Foot': 2; 'In-Vehicle': 7; 'Still': 88; 'Walking': 2; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},Stable,False,0,-0.02344,-0.98828,9.81641,True,False,3.88421,0.17725
2024-10-29 09:48:56,{'Running': 1; 'Unknown': 1; 'Tilting': 0; 'On-Foot': 2; 'In-Vehicle': 4; 'Still': 93; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},Stable,False,0,-0.06250,-0.98828,9.85156,True,False,3.88421,0.17725
2024-10-29 09:48:56,{'Running': 1; 'Unknown': 1; 'Tilting': 0; 'On-Foot': 2; 'In-Vehicle': 4; 'Still': 93; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},Stable,False,0,-0.06250,-1.10156,9.74219,True,False,3.83264,0.17725
2024-10-29 09:48:56,{'Running': 1; 'Unknown': 1; 'Tilting': 0; 'On-Foot': 2; 'In-Vehicle': 4; 'Still': 93; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},Stable,False,0,-0.06250,-1.06641,9.78516,True,False,3.82942,0.17725
2024-10-29 09:48:57,{'Running': 1; 'Unknown': 1; 'Tilting': 0; 'On-Foot': 2; 'In-Vehicle': 4; 'Still': 93; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},Stable,False,0,-0.06250,-1.06641,9.85547,True,False,3.88743,0.17725
2024-10-29 09:48:57,{'Running': 1; 'Unknown': 1; 'Tilting': 0; 'On-Foot': 2; 'In-Vehicle': 4; 'Still': 93; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},Stable,False,0,-0.06250,-1.10156,9.89453,True,False,3.82942,0.17725
2024-10-29 09:48:57,{'Running': 1; 'Unknown': 1; 'Tilting': 0; 'On-Foot': 2; 'In-Vehicle': 4; 'Still': 93; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},Stable,False,0,-0.02344,-1.02734,9.85547,True,False,3.87776,0.17725
2024-10-29 09:48:57,{'Running': 1; 'Unknown': 1; 'Tilting': 0; 'On-Foot': 2; 'In-Vehicle': 4; 'Still': 93; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},Stable,False,0,-0.02344,-1.06641,9.85156,True,False,3.82620,0.17725
2024-10-29 09:48:58,{'Running': 1; 'Unknown': 1; 'Tilting': 0; 'On-Foot': 2; 'In-Vehicle': 1; 'Still': 96; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,-0.06250,-1.06641,9.81641,True,False,3.89710,0.17725
