timestamp,bno_steps,forward_state_change,upward_state_change
2024-09-13 11:28:48,0,True,False
2024-09-13 11:28:49,0,True,False
2024-09-13 11:28:49,0,True,False
2024-09-13 11:28:49,0,False,False
2024-09-13 11:28:50,0,True,True
2024-09-13 11:28:50,0,False,False
2024-09-13 11:28:50,0,False,False
2024-09-13 11:28:51,0,False,False
2024-09-13 11:28:51,0,True,False
2024-09-13 11:28:51,0,True,True
2024-09-13 11:28:51,0,False,True
2024-09-13 11:28:52,0,False,False
2024-09-13 11:28:52,0,False,False
2024-09-13 11:28:52,0,False,False
2024-09-13 11:28:53,0,False,False
2024-09-13 11:28:53,0,False,False
2024-09-13 11:28:53,0,False,False
2024-09-13 11:28:53,0,False,False
2024-09-13 11:28:54,0,False,False
2024-09-13 11:28:54,0,False,False
2024-09-13 11:28:54,0,False,False
2024-09-13 11:28:55,0,False,False
2024-09-13 11:28:55,0,False,False
2024-09-13 11:28:55,2,False,False
2024-09-13 11:28:56,2,False,False
2024-09-13 11:28:56,2,False,False
2024-09-13 11:28:56,2,False,True
2024-09-13 11:28:57,2,False,False
2024-09-13 11:28:57,2,True,False
2024-09-13 11:28:57,2,True,False
2024-09-13 11:28:57,2,False,False
2024-09-13 11:28:58,2,False,False
2024-09-13 11:28:58,2,False,False
2024-09-13 11:28:58,2,False,False
2024-09-13 11:28:59,2,False,True
2024-09-13 11:28:59,2,False,False
2024-09-13 11:28:59,2,False,True
2024-09-13 11:29:00,2,True,False
2024-09-13 11:29:00,2,True,False
2024-09-13 11:29:00,2,False,False
2024-09-13 11:29:01,2,True,False
2024-09-13 11:29:01,2,True,True
2024-09-13 11:29:01,2,False,False
2024-09-13 11:29:01,2,False,False
2024-09-13 11:29:02,2,False,False
2024-09-13 11:29:02,2,False,True
2024-09-13 11:29:02,2,False,False
2024-09-13 11:29:03,2,False,False
2024-09-13 11:29:03,2,False,False
2024-09-13 11:29:03,2,False,False
2024-09-13 11:29:04,2,False,True
2024-09-13 11:29:04,2,False,True
2024-09-13 11:29:04,2,True,False
