2024-10-07 00:19:45,{'Running': 0, 'Unknown': 9, 'Tilting': 0, 'On-Foot': 9, 'In-Vehicle': 53, 'Still': 29, 'Walking': 9, 'most_likely': 'In-Vehicle', 'On-Bicycle': 0, 'OnStairs': 0},In motion,False,0,0.29663,-0.16016,3.92334,0.70264,1.33594,-2.28516,9.70703,True,False,3.72630,0.22236
2024-10-07 00:19:46,{'Running': 2, 'Unknown': 5, 'Tilting': 0, 'On-Foot': 6, 'In-Vehicle': 13, 'Still': 76, 'Walking': 4, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},In motion,False,0,0.19043,-0.53687,3.88013,0.78687,1.33594,-2.21094,9.70703,True,False,3.72630,0.21914
2024-10-07 00:19:48,{'Running': 2, 'Unknown': 5, 'Tilting': 0, 'On-Foot': 6, 'In-Vehicle': 13, 'Still': 76, 'Walking': 4, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},In motion,False,0,0.18018,-0.55249,3.87231,0.81641,1.33594,-2.32422,9.66406,True,False,3.63596,0.21914
2024-10-07 00:19:49,{'Running': 2, 'Unknown': 5, 'Tilting': 0, 'On-Foot': 6, 'In-Vehicle': 13, 'Still': 76, 'Walking': 4, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},In motion,False,0,0.18066,-0.56030,3.87109,0.81787,1.30078,-2.25000,9.66797,True,False,3.73596,0.21592
2024-10-07 00:19:50,{'Running': 2, 'Unknown': 5, 'Tilting': 0, 'On-Foot': 6, 'In-Vehicle': 13, 'Still': 76, 'Walking': 4, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},In motion,False,0,0.22974,-0.34717,3.91162,0.72534,1.33594,-2.25000,9.66797,True,False,3.72307,0.21592
2024-10-07 00:19:52,{'Running': 2, 'Unknown': 5, 'Tilting': 0, 'On-Foot': 6, 'In-Vehicle': 13, 'Still': 76, 'Walking': 4, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},In motion,False,0,0.17847,-0.54980,3.87207,0.81982,1.41406,-1.90234,9.78516,True,False,3.62952,0.21270
2024-10-07 00:19:53,{'Running': 2, 'Unknown': 5, 'Tilting': 0, 'On-Foot': 6, 'In-Vehicle': 13, 'Still': 76, 'Walking': 4, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},In motion,False,0,0.17065,-0.55713,3.85938,0.87500,1.33594,-2.28516,9.66797,True,False,3.71341,0.21270
2024-10-07 00:19:54,{'Running': 2, 'Unknown': 2, 'Tilting': 0, 'On-Foot': 4, 'In-Vehicle': 2, 'Still': 92, 'Walking': 2, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},Stable,False,0,0.16943,-0.55103,3.86060,0.87354,1.33594,-2.25000,9.66797,True,False,3.71341,0.21270
2024-10-07 00:19:56,{'Running': 2, 'Unknown': 2, 'Tilting': 0, 'On-Foot': 4, 'In-Vehicle': 2, 'Still': 92, 'Walking': 2, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17139,-0.54150,3.86841,0.84399,1.33594,-2.28516,9.66797,True,False,3.70686,0.20947
2024-10-07 00:19:57,{'Running': 2, 'Unknown': 2, 'Tilting': 0, 'On-Foot': 4, 'In-Vehicle': 2, 'Still': 92, 'Walking': 2, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17017,-0.54980,3.86084,0.87378,1.33594,-2.25000,9.70703,True,False,3.63596,0.20947
