timestamp,bno_steps,forward_state_change,upward_state_change
2024-09-18 20:20:49,0,True,True,3.7198505402
2024-09-18 20:21:02,0,True,True,3.7327413559
2024-09-18 20:21:16,0,True,True,3.7295188904
2024-09-18 20:21:29,0,True,True,3.7327413559
2024-09-18 20:21:42,0,True,True,3.7295188904
2024-09-18 20:21:56,0,True,True,3.7295188904
2024-09-18 20:22:09,0,True,True,3.7295188904
2024-09-18 20:22:23,0,True,True,3.7295188904
2024-09-18 20:22:36,0,True,True,3.7359638214
2024-09-18 20:22:50,0,True,True,3.7359638214
2024-09-18 20:23:03,0,True,True,3.7359638214
2024-09-18 20:23:16,0,True,True,3.7359638214
2024-09-18 20:23:30,0,True,True,3.7359638214
2024-09-18 20:23:43,0,True,True,3.7359638214
2024-09-18 20:23:57,0,True,True,3.7359638214
2024-09-18 20:24:10,0,True,True,3.7359638214
2024-09-18 20:24:24,0,True,True,3.7359638214
2024-09-18 20:24:37,0,True,True,3.7262954712
2024-09-18 20:24:50,0,True,True,3.7262954712
2024-09-18 20:25:04,0,True,True,3.7262954712
2024-09-18 20:25:17,0,True,True,3.7262954712
2024-09-18 20:25:31,0,True,True,3.7295188904
2024-09-18 20:25:44,0,True,True,3.7262954712
2024-09-18 20:25:57,0,True,True,3.7262954712
2024-09-18 20:26:11,0,True,True,3.7262954712
2024-09-18 20:26:24,0,True,True,3.7262954712
2024-09-18 20:26:38,0,True,True,3.7262954712
2024-09-18 20:26:51,0,True,True,3.7262954712
2024-09-18 20:27:05,0,True,True,3.7262954712
2024-09-18 20:27:18,0,True,True,3.7230730057
2024-09-18 20:27:31,0,True,True,3.7230730057
2024-09-18 20:27:45,0,True,True,3.7230730057
2024-09-18 20:27:58,0,True,True,3.7230730057
2024-09-18 20:28:12,0,True,True,3.7230730057
2024-09-18 20:28:25,0,True,True,3.7230730057
2024-09-18 20:28:38,0,True,True,3.7230730057
2024-09-18 20:28:52,0,True,True,3.7262954712
2024-09-18 20:29:05,0,True,True,3.7230730057
2024-09-18 20:29:19,0,True,True,3.7295188904
2024-09-18 20:29:32,0,True,True,3.7230730057
2024-09-18 20:29:46,0,True,True,3.7230730057
2024-09-18 20:29:59,0,True,True,3.7230730057
2024-09-18 20:30:12,0,True,True,3.7230730057
2024-09-18 20:30:26,0,True,True,3.7230730057
2024-09-18 20:30:39,0,True,True,3.7230730057
2024-09-18 20:30:53,0,True,True,3.7327413559
2024-09-18 20:31:06,0,True,True,3.7295188904
2024-09-18 20:31:20,0,True,True,3.7198505402
2024-09-18 20:31:33,0,True,True,3.7295188904
2024-09-18 20:31:46,0,True,True,3.7295188904
2024-09-18 20:32:00,0,True,True,3.7295188904
2024-09-18 20:32:13,0,True,True,3.7295188904
2024-09-18 20:32:27,0,True,True,3.7295188904
2024-09-18 20:32:40,0,True,True,3.7295188904
2024-09-18 20:32:53,0,True,True,3.7295188904
2024-09-18 20:33:07,0,True,True,3.7295188904
2024-09-18 20:33:20,0,True,True,3.7295188904
2024-09-18 20:33:34,0,True,True,3.7295188904
2024-09-18 20:33:47,0,True,True,3.7295188904
2024-09-18 20:34:01,0,True,True,3.7262954712
2024-09-18 20:34:14,0,True,True,3.7262954712
2024-09-18 20:34:27,0,True,True,3.7262954712
2024-09-18 20:34:41,0,True,True,3.7262954712
2024-09-18 20:34:54,0,True,True,3.7262954712
2024-09-18 20:35:08,0,True,True,3.7262954712
2024-09-18 20:35:21,0,True,True,3.7262954712
2024-09-18 20:35:34,0,True,True,3.7262954712
