timestamp,activity_classification,forward_state_change,upward_state_change
2024-09-19 11:15:12,Unknown,False,True,3.6971912384
2024-09-19 11:15:26,Unknown,False,True,3.7004137039
2024-09-19 11:15:40,Unknown,False,True,3.6971912384
2024-09-19 11:15:54,Unknown,False,True,3.6971912384
2024-09-19 11:16:08,Unknown,False,True,3.6971912384
2024-09-19 11:16:22,Unknown,False,True,3.6971912384
2024-09-19 11:16:36,Unknown,False,True,3.6971912384
2024-09-19 11:16:50,Unknown,False,True,3.6971912384
2024-09-19 11:17:05,Unknown,False,True,3.6971912384
2024-09-19 11:17:19,Unknown,False,True,3.6971912384
2024-09-19 11:17:33,Unknown,False,True,3.6971912384
2024-09-19 11:17:47,Unknown,False,True,3.6971912384
2024-09-19 11:18:01,Unknown,False,True,3.6971912384
2024-09-19 11:18:15,Unknown,False,True,3.6971912384
2024-09-19 11:18:29,Unknown,False,True,3.7036361694
2024-09-19 11:18:43,Unknown,False,True,3.6971912384
2024-09-19 11:18:57,Unknown,False,True,3.6971912384
2024-09-19 11:19:11,Unknown,False,True,3.6971912384
2024-09-19 11:19:25,Unknown,False,True,3.6971912384
2024-09-19 11:19:39,Unknown,False,True,3.6971912384
2024-09-19 11:19:53,Unknown,False,True,3.6971912384
2024-09-19 11:20:07,Unknown,False,True,3.6939687729
2024-09-19 11:20:22,Unknown,False,True,3.6971912384
2024-09-19 11:20:36,Unknown,False,True,3.6939687729
2024-09-19 11:20:50,Unknown,False,True,3.6971912384
2024-09-19 11:21:04,Unknown,False,True,3.6971912384
2024-09-19 11:21:18,Unknown,False,True,3.6971912384
2024-09-19 11:21:32,Unknown,False,True,3.6939687729
2024-09-19 11:21:46,Unknown,False,True,3.6971912384
2024-09-19 11:22:00,Unknown,False,True,3.6939687729
2024-09-19 11:22:14,Unknown,False,True,3.6939687729
2024-09-19 11:22:28,Unknown,False,True,3.6939687729
2024-09-19 11:22:42,Unknown,False,True,3.6939687729
2024-09-19 11:22:56,Unknown,False,True,3.6939687729
2024-09-19 11:23:10,Unknown,False,True,3.6939687729
2024-09-19 11:23:25,Unknown,False,True,3.6939687729
2024-09-19 11:23:39,Unknown,False,True,3.6939687729
2024-09-19 11:23:53,Unknown,False,True,3.6939687729
2024-09-19 11:24:07,Unknown,False,True,3.6939687729
2024-09-19 11:24:21,Unknown,False,True,3.6939687729
2024-09-19 11:24:35,Unknown,False,True,3.6939687729
2024-09-19 11:24:49,Unknown,False,True,3.6939687729
2024-09-19 11:25:03,Unknown,False,True,3.6939687729
2024-09-19 11:25:17,Unknown,False,True,3.6939687729
2024-09-19 11:25:31,Unknown,False,True,3.6939687729
2024-09-19 11:25:45,Unknown,True,True,3.6939687729
2024-09-19 11:25:59,Unknown,False,True,3.6939687729
2024-09-19 11:26:13,Unknown,False,True,3.6939687729
2024-09-19 11:26:27,Unknown,False,True,3.6939687729
2024-09-19 11:26:42,Unknown,False,True,3.6939687729
2024-09-19 11:26:56,Unknown,False,True,3.6939687729
2024-09-19 11:27:10,Unknown,False,True,3.6939687729
2024-09-19 11:27:24,Unknown,False,True,3.6939687729
2024-09-19 11:27:38,Unknown,False,True,3.6939687729
2024-09-19 11:27:52,Unknown,False,True,3.6939687729
2024-09-19 11:28:06,Unknown,False,True,3.6939687729
2024-09-19 11:28:20,Unknown,False,True,3.6939687729
2024-09-19 11:28:34,Unknown,False,True,3.6939687729
2024-09-19 11:28:48,Unknown,False,True,3.6939687729
2024-09-19 11:29:02,Unknown,True,True,3.6939687729
2024-09-19 11:29:16,Unknown,False,True,3.6939687729
2024-09-19 11:29:30,Unknown,False,True,3.6939687729
2024-09-19 11:29:45,Unknown,False,True,3.6939687729
2024-09-19 11:29:59,Unknown,False,True,3.6939687729
2024-09-19 11:30:13,Unknown,False,True,3.6939687729
2024-09-19 11:30:27,Unknown,False,True,3.6939687729
2024-09-19 11:30:41,Unknown,False,True,3.6939687729
2024-09-19 11:30:55,Unknown,False,True,3.6939687729
2024-09-19 11:31:09,Unknown,False,True,3.6907463074
2024-09-19 11:31:23,Unknown,False,True,3.6907463074
2024-09-19 11:31:37,Unknown,False,True,3.6939687729
2024-09-19 11:31:51,Unknown,False,True,3.6939687729
2024-09-19 11:32:05,Unknown,False,True,3.6907463074
2024-09-19 11:32:19,Unknown,False,True,3.6907463074
2024-09-19 11:32:33,Unknown,False,True,3.6939687729
2024-09-19 11:32:47,Unknown,False,True,3.6907463074
2024-09-19 11:33:02,Unknown,False,True,3.6907463074
2024-09-19 11:33:16,Unknown,False,True,3.6907463074
2024-09-19 11:33:30,Unknown,False,True,3.6907463074
2024-09-19 11:33:44,Unknown,False,True,3.6907463074
2024-09-19 11:33:58,Unknown,True,True,3.6907463074
