timestamp,activity_classification,forward_state_change,upward_state_change
2024-09-19 11:02:32,Unknown,True,True,3.7036361694
2024-09-19 11:02:46,Unknown,True,True,3.7100820541
2024-09-19 11:03:00,Unknown,False,True,3.7068595886
2024-09-19 11:03:14,Unknown,False,True,3.7068595886
2024-09-19 11:03:28,Unknown,False,True,3.7068595886
2024-09-19 11:03:42,Unknown,False,True,3.7068595886
2024-09-19 11:03:56,Unknown,False,True,3.7036361694
2024-09-19 11:04:10,Unknown,False,True,3.7036361694
2024-09-19 11:04:25,Unknown,False,True,3.7036361694
2024-09-19 11:04:39,Unknown,False,True,3.7036361694
2024-09-19 11:04:53,Unknown,False,True,3.7036361694
2024-09-19 11:05:07,Unknown,True,True,3.7036361694
2024-09-19 11:05:21,Unknown,False,True,3.7036361694
2024-09-19 11:05:35,Unknown,True,True,3.7166280746
2024-09-19 11:05:49,Unknown,False,True,3.7166280746
2024-09-19 11:06:03,Unknown,False,True,3.7166280746
2024-09-19 11:06:17,Unknown,False,True,3.7100820541
2024-09-19 11:06:31,Unknown,False,True,3.7166280746
2024-09-19 11:06:45,Unknown,False,True,3.7166280746
2024-09-19 11:06:59,Unknown,False,True,3.7166280746
2024-09-19 11:07:13,Unknown,False,True,3.7100820541
2024-09-19 11:07:28,Unknown,False,True,3.7166280746
2024-09-19 11:07:42,Unknown,False,True,3.7166280746
2024-09-19 11:07:56,Unknown,False,True,3.7166280746
2024-09-19 11:08:10,Unknown,False,True,3.7100820541
2024-09-19 11:08:24,Unknown,False,True,3.7166280746
2024-09-19 11:08:38,Unknown,False,True,3.7100820541
2024-09-19 11:08:52,Unknown,False,True,3.7100820541
2024-09-19 11:09:06,Unknown,False,True,3.7100820541
2024-09-19 11:09:20,Unknown,False,True,3.7068595886
2024-09-19 11:09:34,Unknown,False,True,3.7068595886
2024-09-19 11:09:48,Unknown,False,True,3.7068595886
2024-09-19 11:10:02,Unknown,False,True,3.7068595886
2024-09-19 11:10:16,Unknown,False,True,3.7004137039
2024-09-19 11:10:30,Unknown,False,True,3.7068595886
2024-09-19 11:10:45,Unknown,False,True,3.7004137039
2024-09-19 11:10:59,Unknown,False,True,3.7004137039
2024-09-19 11:11:13,Unknown,False,True,3.7004137039
2024-09-19 11:11:27,Unknown,False,True,3.7068595886
2024-09-19 11:11:41,Unknown,False,True,3.7068595886
2024-09-19 11:11:55,Unknown,False,True,3.7004137039
2024-09-19 11:12:09,Unknown,False,True,3.7004137039
2024-09-19 11:12:23,Unknown,False,True,3.7004137039
2024-09-19 11:12:37,Unknown,False,True,3.7004137039
2024-09-19 11:12:51,Unknown,False,True,3.7004137039
2024-09-19 11:13:05,Unknown,False,True,3.6971912384
2024-09-19 11:13:19,Unknown,False,True,3.7004137039
2024-09-19 11:13:33,Unknown,False,True,3.6971912384
2024-09-19 11:13:48,Unknown,False,True,3.6971912384
2024-09-19 11:14:02,Unknown,False,True,3.7068595886
2024-09-19 11:14:16,Unknown,False,True,3.6971912384
2024-09-19 11:14:30,Unknown,False,True,3.6971912384
2024-09-19 11:14:44,Unknown,False,True,3.6971912384
2024-09-19 11:14:58,Unknown,False,True,3.6971912384
