Timestamp,activity_classification,stability_classification,shake_detection,step_count,acc_x,acc_y,acc_z,tilt_up,tilt_forward,vbat_voltage,usb_voltage
2024-11-06 11:03:43,{'Running': 9; 'Unknown': 9; 'Tilting': 0; 'On-Foot': 17; 'In-Vehicle': 18; 'Still': 56; 'Walking': 8; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.04688,-0.36719,9.73828,True,True,3.65852,0.19658
2024-11-06 11:03:43,{'Running': 7; 'Unknown': 5; 'Tilting': 0; 'On-Foot': 13; 'In-Vehicle': 8; 'Still': 74; 'Walking': 6; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.08594,-0.28906,9.77344,True,True,3.65852,0.19658
2024-11-06 11:03:44,{'Running': 7; 'Unknown': 5; 'Tilting': 0; 'On-Foot': 13; 'In-Vehicle': 8; 'Still': 74; 'Walking': 6; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.08594,-0.32813,9.77344,True,True,3.65852,0.19658
2024-11-06 11:03:45,{'Running': 6; 'Unknown': 6; 'Tilting': 0; 'On-Foot': 11; 'In-Vehicle': 7; 'Still': 76; 'Walking': 5; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.04688,-0.32813,9.77734,True,True,3.68752,0.19658
2024-11-06 11:03:46,{'Running': 6; 'Unknown': 6; 'Tilting': 0; 'On-Foot': 11; 'In-Vehicle': 7; 'Still': 76; 'Walking': 5; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.08594,-0.36719,9.73438,True,True,3.66174,0.19658
2024-11-06 11:03:47,{'Running': 6; 'Unknown': 6; 'Tilting': 0; 'On-Foot': 11; 'In-Vehicle': 7; 'Still': 76; 'Walking': 5; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.08594,-0.36719,9.73438,True,True,3.65852,0.19336
2024-11-06 11:03:47,{'Running': 6; 'Unknown': 6; 'Tilting': 0; 'On-Foot': 11; 'In-Vehicle': 7; 'Still': 76; 'Walking': 5; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.08594,-0.36719,9.73438,True,True,3.65852,0.19658
2024-11-06 11:03:48,{'Running': 5; 'Unknown': 4; 'Tilting': 0; 'On-Foot': 9; 'In-Vehicle': 6; 'Still': 81; 'Walking': 4; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.04688,-0.32813,9.73828,True,True,3.68108,0.19658
2024-11-06 11:03:49,{'Running': 5; 'Unknown': 4; 'Tilting': 0; 'On-Foot': 9; 'In-Vehicle': 5; 'Still': 82; 'Walking': 4; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.08594,-0.28906,9.77344,True,True,3.65852,0.19336
2024-11-06 11:03:50,{'Running': 5; 'Unknown': 4; 'Tilting': 0; 'On-Foot': 9; 'In-Vehicle': 5; 'Still': 82; 'Walking': 4; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.04688,-0.28906,9.73828,True,True,3.65852,0.19336
